,ShanghaiSE_china,ftse mib_italy,aex_netherlands,atx_austria,asx200_australia,bfx_belgium,bsesn_india,bux_hungary,djia_united states,cac40_france,ftse100_united kingdom,dax30_germany,s&p500_united states,S&P/TSX_canada,hang seng_hong kong,ibex 35_spain,iseq_ireland,kospi_south korea,nikkei225_japan,omx_sweden,^SSMI_switzerland,russia-moex,poland-wig20,denmark-omxc20,finland-omx helsinki 25,CHFAUD=X,CHFCAD=X,CHFCNY=X,CHFCZK=X,CHFDKK=X,CHFEUR=X,CHFHKD=X,CHFHUF=X,CHFINR=X,CHFKRW=X,CHFNOK=X,CHFPLN=X,CHFSEK=X,CHFUSD=X,JPYCHF=X,NOKCHF=X
2010-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,2941.360107421875,22012.0,331.30999755859375,2541.25,4524.10009765625,2537.7099609375,16356.0302734375,21929.66015625,10185.5302734375,3762.010009765625,5247.39990234375,5654.47998046875,1089.18994140625,11317.599609375,20243.75,10995.2001953125,2981.469970703125,1606.43994140625,10205.01953125,967.77001953125,6496.330078125,1417.0,2363.18,358.43,2082.07,1.0606000423431396,1.0047999620437622,6.4369001388549805,17.60300064086914,5.047399997711182,0.6795600056648254,7.352499961853027,182.9600067138672,43.685001373291016,1100.9000244140625,5.53980016708374,2.705199956893921,6.864699840545654,0.9466111660003662,1.1632000207901,18.017000198364258
2010-02-02,2934.712890625,22414.0,334.0400085449219,2563.169921875,4605.2998046875,2547.110107421875,16163.4404296875,21858.25,10296.849609375,3812.1298828125,5283.2998046875,5709.66015625,1103.3199462890625,11408.2998046875,20272.1796875,11140.900390625,3015.320068359375,1595.81005859375,10371.08984375,971.7999877929688,6550.1201171875,1436.63,2374.35,358.17,2094.12,1.0678000450134277,1.0022000074386597,6.449999809265137,17.604000091552734,5.051000118255615,0.6782799959182739,7.362400054931641,183.0399932861328,43.68199920654297,1097.199951171875,5.526199817657471,2.694700002670288,6.844799995422363,0.9481368660926819,1.1655000448226929,18.054000854492188
2010-02-03,3003.8349609375,22169.0,333.0299987792969,2538.159912109375,4647.89990234375,2529.659912109375,16496.05078125,21811.630859375,10270.5498046875,3793.469970703125,5253.2001953125,5672.08984375,1097.280029296875,11390.5,20722.080078125,10888.400390625,3025.25,1615.02001953125,10404.330078125,970.0,6553.7998046875,1431.08,2383.95,360.48,2087.58,1.0707000494003296,1.0029000043869019,6.439899921417236,17.683000564575195,5.047399997711182,0.6797199845314026,7.337100028991699,184.32000732421875,43.382999420166016,1085.0999755859375,5.535600185394287,2.721299886703491,6.865200042724609,0.9450902938842773,1.1640000343322754,18.006999969482422
2010-02-04,2995.30810546875,21405.0,323.2300109863281,2474.85009765625,4621.60009765625,2454.89990234375,16224.9501953125,20815.26953125,10002.1796875,3689.25,5139.2998046875,5533.240234375,1063.1099853515625,11128.7998046875,20341.640625,10241.7001953125,2951.300048828125,1616.4200439453125,10355.98046875,948.6199951171875,6396.509765625,1395.87,2285.94,355.92,2043.33,1.0794999599456787,1.0056999921798706,6.401000022888184,17.895999908447266,5.082699775695801,0.6826800107955933,7.291299819946289,186.9199981689453,43.42399978637695,1076.0999755859375,5.593299865722656,2.78439998626709,6.968500137329102,0.9384384155273438,1.190999984741211,17.858999252319336
2010-02-05,2939.402099609375,20816.0,315.0400085449219,2392.68994140625,4514.10009765625,2392.52001953125,15790.9296875,20224.740234375,10012.23046875,3563.760009765625,5060.89990234375,5434.33984375,1066.18994140625,11223.099609375,19665.080078125,10103.2998046875,2890.110107421875,1567.1199951171875,10057.08984375,935.8900146484375,6264.330078125,1355.64,2195.65,350.75,2001.93,1.0735000371932983,0.996969997882843,6.3196001052856445,17.833999633789062,5.059700012207031,0.6812000274658203,7.243800163269043,186.64999389648438,43.207000732421875,1083.5999755859375,5.570400238037109,2.7804999351501465,6.931000232696533,0.9326618909835815,1.201300024986267,17.88599967956543
2010-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-08,2935.174072265625,20938.0,316.5,2407.590087890625,4521.39990234375,2402.14990234375,15935.6103515625,20300.109375,9908.3896484375,3607.27001953125,5092.2998046875,5484.85009765625,1056.739990234375,11115.2998046875,19550.890625,10206.2998046875,2908.2900390625,1552.7900390625,9951.8203125,938.4199829101562,6347.14013671875,1322.15,2189.35,345.43,1982.94,1.0788999795913696,1.0015000104904175,6.372600078582764,17.857999801635742,5.081600189208984,0.6825500130653381,7.243199825286865,186.77000427246094,43.60900115966797,1093.5999755859375,5.567599773406982,2.8053998947143555,6.937099933624268,0.9321401715278625,1.2014000415802002,17.91900062561035
2010-02-09,2948.842041015625,20819.0,317.05999755859375,2414.489990234375,4505.10009765625,2413.179931640625,16042.1796875,20622.830078125,10058.6396484375,3612.760009765625,5111.7998046875,5498.259765625,1070.52001953125,11274.2001953125,19790.279296875,10275.400390625,2884.280029296875,1570.489990234375,9932.900390625,944.7999877929688,6314.75,1338.16,2205.27,348.74,1996.87,1.069700002670288,1.0018999576568604,6.400700092315674,17.746999740600586,5.069900035858154,0.6810700297355652,7.293399810791016,184.22000122070312,43.54499816894531,1087.5,5.540200233459473,2.7607998847961426,6.876800060272217,0.9387908577919006,1.1855000257492065,18.01099967956543
2010-02-10,2982.5,21242.0,316.1000061035156,2451.7099609375,4513.39990234375,2440.7900390625,15922.169921875,20660.119140625,10038.3798828125,3635.610107421875,5132.0,5536.3701171875,1068.1300048828125,11286.2998046875,19922.220703125,10455.0,2922.22998046875,1570.1199951171875,9963.990234375,937.0499877929688,6333.990234375,1327.24,2215.15,346.31,1997.52,1.0684000253677368,0.9955999851226807,6.375899791717529,17.767000198364258,5.075200080871582,0.6817700266838074,7.284599781036377,184.91000366210938,43.34299850463867,1085.800048828125,5.535900115966797,2.769700050354004,6.840099811553955,0.9377343654632568,1.184999942779541,18.02400016784668
2010-02-11,2985.4990234375,21076.0,316.79998779296875,2469.409912109375,4554.2998046875,2453.7900390625,16152.58984375,20670.4609375,10144.1904296875,3616.75,5161.5,5503.93017578125,1078.469970703125,11435.5,20290.689453125,10281.7001953125,2896.1298828125,1597.81005859375,,943.6599731445312,6403.419921875,1329.35,2173.25,348.53,2010.0,1.04830002784729,0.9807999730110168,6.348999977111816,17.672000885009766,5.080599784851074,0.6822199821472168,7.253499984741211,184.0,43.26499938964844,1076.0999755859375,5.492400169372559,2.7365000247955322,6.755799770355225,0.9339683651924133,1.1914000511169434,18.148000717163086
2010-02-12,3018.133056640625,21036.0,315.739990234375,2449.570068359375,4562.10009765625,2461.469970703125,,20733.439453125,10099.1396484375,3599.070068359375,5142.5,5500.39013671875,1075.510009765625,11469.7998046875,20268.689453125,10224.900390625,2902.080078125,1593.6600341796875,10092.1904296875,931.3499755859375,6416.2001953125,1304.86,2216.71,349.74,1989.4,1.0456000566482544,0.9760900139808655,6.337500095367432,17.690000534057617,5.065299987792969,0.6820799708366394,7.224299907684326,184.77000427246094,43.10300064086914,1070.199951171875,5.483699798583984,2.733099937438965,6.734000205993652,0.9301460981369019,1.1944999694824219,18.166000366210938
2010-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-15,,21122.0,315.8599853515625,2462.199951171875,4545.5,2449.7900390625,16038.349609375,,,3609.219970703125,5167.5,5511.10009765625,,,,10293.599609375,2862.7099609375,,10013.2998046875,923.3699951171875,6440.759765625,1319.22,2259.19,350.64,1988.93,1.0430999994277954,0.9736999869346619,6.332799911499023,17.795000076293945,5.0665998458862305,0.6822699904441833,7.212399959564209,185.7100067138672,42.97100067138672,1064.0,5.491199970245361,2.748199939727783,6.723999977111816,0.9285050630569458,1.1953999996185303,18.167999267578125
2010-02-16,,21289.0,318.8399963378906,2508.929931640625,4567.7998046875,2475.47998046875,16226.6796875,21207.76953125,10268.8095703125,3669.0400390625,5244.10009765625,5592.1201171875,1094.8699951171875,11586.400390625,,10393.900390625,2897.639892578125,1601.050048828125,10034.25,934.3099975585938,6497.66015625,1361.49,2239.53,354.54,2015.04,1.0403000116348267,0.9785599708557129,6.388299942016602,17.684999465942383,5.070199966430664,0.6814200282096863,7.286499977111816,184.35000610351562,43.13999938964844,1074.0999755859375,5.484300136566162,2.710900068283081,6.731599807739258,0.938262403011322,1.180299997329712,18.187000274658203
2010-02-17,,21651.0,323.1300048828125,2535.97998046875,4667.89990234375,2512.840087890625,16428.91015625,21653.990234375,10309.240234375,3725.2099609375,5276.60009765625,5648.33984375,1099.510009765625,11635.5,20534.009765625,10498.599609375,2952.570068359375,1627.4300537109375,10306.830078125,943.6900024414062,6567.60009765625,1354.09,2281.92,357.57,2046.29,1.032099962234497,0.9706299901008606,6.337200164794922,17.59600067138672,5.074699878692627,0.6819000244140625,7.2067999839782715,184.07000732421875,42.70100021362305,1064.5999755859375,5.450500011444092,2.7016000747680664,6.684199810028076,0.9280053377151489,1.1823999881744385,18.285999298095703
2010-02-18,,21686.0,324.29998779296875,2562.0,4654.89990234375,2518.409912109375,16327.83984375,21374.66015625,10392.900390625,3747.830078125,5325.10009765625,5680.41015625,1106.75,11694.7998046875,20422.150390625,10574.2001953125,2969.489990234375,1621.18994140625,10335.6904296875,946.969970703125,6637.2900390625,1338.77,2250.77,358.6,2061.53,1.0327999591827393,0.965499997138977,6.31220006942749,17.52899932861328,5.082499980926514,0.6827300190925598,7.139900207519531,185.1199951171875,42.66299819946289,1059.5,5.51669979095459,2.7297000885009766,6.7027997970581055,0.9193711280822754,1.1815999746322632,18.084999084472656
2010-02-19,,21772.0,325.6000061035156,2573.18994140625,4635.10009765625,2527.72998046875,16191.6298828125,21344.890625,10402.349609375,3769.5400390625,5358.2001953125,5722.0498046875,1109.1700439453125,11709.2998046875,19894.01953125,10676.7001953125,2967.419921875,1593.9000244140625,10123.580078125,957.27001953125,6709.68017578125,1353.75,2249.48,358.76,2064.13,1.0325000286102295,0.9658200144767761,6.297100067138672,17.554000854492188,5.069699764251709,0.6827800273895264,7.2164998054504395,184.61000061035156,42.93199920654297,1065.5999755859375,5.510000228881836,2.719399929046631,6.697400093078613,0.9295408725738525,1.174399971961975,18.07900047302246
2010-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-22,3003.39794921875,21705.0,325.1199951171875,2567.429931640625,4717.5,2521.10009765625,16237.0498046875,21481.310546875,10383.3798828125,3756.699951171875,5352.10009765625,5688.43994140625,1108.010009765625,11634.7998046875,20377.26953125,10570.5,2973.97998046875,1627.0999755859375,10400.4697265625,954.0999755859375,6687.41015625,,2267.3,360.99,2076.39,1.031999945640564,0.9686999917030334,6.325099945068359,17.570999145507812,5.086299896240234,0.6834800243377686,7.217199802398682,183.47999572753906,42.87900161743164,1067.300048828125,5.484000205993652,2.7065999507904053,6.685299873352051,0.9298000931739807,1.1780999898910522,18.179000854492188
2010-02-23,2982.574951171875,21224.0,320.989990234375,2501.85009765625,4718.2998046875,2502.889892578125,16286.3203125,20861.919921875,10282.41015625,3707.06005859375,5315.10009765625,5604.06982421875,1094.5999755859375,11526.7001953125,20623.0,10312.900390625,2950.31005859375,1628.9000244140625,10352.099609375,942.0499877929688,6649.08984375,,2240.28,357.44,2065.23,1.0343999862670898,0.9743000268936157,6.3024001121521,17.572999954223633,5.083600044250488,0.6830000281333923,7.170499801635742,183.80999755859375,42.736000061035156,1068.199951171875,5.495100021362305,2.7288999557495117,6.706500053405762,0.924043595790863,1.1993000507354736,18.16200065612793
